,power sector,bus and coach,construction and civil engineering,conductor engineering,land based,construction site,signals,electrification,process engineering maintenance,fabrication and welding,performing engineering operations,mechanical manifacturing,marine engineering,engineering maintenance,engineering tech support,engineering manufacture,automotive engineering,aeronautical engineering,food and drink,electrical power,engineering surveying,building services
0,carry out excavation work on underground cables in the electricity power environment,achieve effective working relationships with colleagues in bus/coach engineering and maintenance,"conform to general workplace health, safety and",commission lightning conductor installation systems,agree how to manage and improve own performance in a business environment,"allocate and monitor the use of plant, equipment or machinery",adjust signalling components and equipment to meet operational requirements,allocate and monitor resources for electrification and plant engineering activities,adjust electrical plant and equipment to meet operational requirements,assembling components using mechanical fasteners,applying surface finishes to yacht and boat wooden assemblies,assembling mechanical products, managing process condition information in downstream operations,applying total productive maintenance (tpm),analysing and interpreting the results of radiographic tests,applying quality function deployment (qfd),assembling and fitting wiring looms to vehicles,applying finishes to aircraft composite mouldings,understand how to apply total productive maintenance (tpm) in food and drink operations ,complying with statutory regulations and organisational safety requirements,"conform to general workplace health, safety and",apply health and safety and environmental legislation in the building services engineering sector legacy
1,developing and maintaining effective customer relationships,assess body damage to buses/coaches,conform to productive work practices,"conform to general workplace health, safety and",apply core land-based engineering principles: calculations,allocate work and check people’s performance,adjust telecoms components and equipment to meet operational requirements,assist in preparing resources for electrification and plant engineering activities,adjust instrument and control systems to meet operational requirements,assembling structural steelwork,assembling and testing electronic circuits,assembling non-metallic pipework,applying marine coatings manually,assisting in the installation of electrical/electronic equipment,carrying out condition monitoring of engineering plant and equipment,build teams,assembling commercial and passenger carrying vehicle body sub-assemblies to produce a vehicle,bonding composite mouldings,understand how to assist in the installation of equipment to produce an engineered system in food and drink operations,work with other people,conform to productive work practices,building services systems
2,install underground cables in the electricity power utilities environment,carry out bus/coach servicing,"control, direct and guide the operation of plant or machinery",conform to productive work practices,apply core land-based engineering principles: cooling and lubrication,assess and recommend work methods,allocate and monitor resources for signal engineering activities,assist in preventative and corrective maintenance of traction cabling systems,adjust mechanical plant and equipment to meet operational requirements,bending and forming plate using power operated machines,assembling and testing fluid power systems,assembling screwed pipework,applying marine coatings using spray methods,assisting in the installation of mechanical equipment,carrying out fault diagnosis on engineering plant and equipment,carrying out design of experiments (doe),assembling electrical and electronic equipment to vehicles,"carrying out fault diagnosis on aircraft airframe, mechanical components and systems",understand how to assist in the installation of instrumentation and control equipment used in food and drink operations ,,contribute to preparations for engineering surveying operations,coordinate a work site in the building services engineering sector legacy
3,location and identification of underground utility services in the electricity power utilities,carry out roadside recovery of buses/coaches,"cut, drill and shape construction related materials",erect and remove specialist access equipment,"apply core land-based engineering principles: material preparation, shaping and assembling",co-ordinate preparation for site operations,allocate and monitor resources for telecoms engineering activities,carry out installation of electrification and plant assets,assemble components of electrical process plant and equipment,bending and forming plate using press brakes or bending machines,assembling components using mechanical fasteners,assembling small bore non-ferrous pipework,assembling fabricated components to produce marine sub-assemblies,carrying out condition monitoring of plant and equipment,carrying out health and safety risk assessments on engineering activities,carrying out maintenance activities on electrical equipment,carrying out fault location on electrical equipment and circuits,carrying out fault diagnosis on aircraft avionics components or systems,understand how to carry out condition monitoring of plant and equipment used within food and drink operations,,,establish and maintain relationships in the building services engineering sector legacy
4,maintain compressed air systems and equipment used in food and drink operations,carry out scheduled body maintenance on buses / coaches,erect and dismantle access/working platforms,identify and mark the location of utilities apparatus and sub-structures,apply core land-based engineering principles: mechanical principles,co-ordinate work control,assist in planned maintenance of signalling equipment,carry out installation of electrification and plant equipment and components,assemble components of instrument and control process plant and equipment,bonding engineering materials using adhesives,assembling electrical or electronic components to mechanical equipment,carrying out cnc machine tool programming,assembling ferrous marine pipework by mechanical means,carrying out fault diagnosis on communication-electronic systems,carrying out project management of engineering activities,carrying out maintenance activities on electrical equipment within an engineered system,carrying out fault location on fluid power equipment and circuits,carrying out flight servicing and routine maintenance of aircraft,understand how to carry out fault diagnosis on engineered systems within food and drink operations,,,install and test industrial and commercial heating and ventilating pipework systems
5,using and communicating technical information,carry out scheduled electrical maintenance on buses/coaches,erect and strike proprietary formwork,install lightning conductor systems,apply core land-based engineering principles: servicing and maintenance,contribute to controlling work quantities and costs,assist in planned maintenance of telecoms equipment,carry out maintenance on electrification and plant equipment and components,assess the performance and condition of electrical plant and equipment,complying with statutory regulations and organisational safety requirements,assembling electronic circuits,checking that completed assemblies comply with specification,assembling marine wooden components,carrying out fault diagnosis on electrical equipment and circuits,carrying out radiographic testing activities,carrying out maintenance activities on fluid power equipment,carrying out maintenance activities on electrical equipment,carrying out test bed runs on aircraft engines (uninstalled),understand how to carry out fault diagnosis on instrumentation and control equipment and circuits used in food and drink operations ,,,service and maintain air conditioning and heat pump systems
6,working efficiently and effectively in engineering,carry out scheduled mechanical maintenance on buses/coaches,form and finish excavations manually,"move, handle or store resources",apply core land-based engineering principles: thermal joining processes,contribute to the identification of a work team,assist in the installation of signalling equipment,carry out technical assessment of electrification and plant,assess the performance and condition of instrument and control systems,cutting and shaping materials using cnc water jet cutting machines,assembling engineering woodwork components,complying with statutory regulations and organisational safety requirements,assembling non-ferrous marine pipework,carrying out fault diagnosis on electronic equipment and circuits,carrying out visual inspection of welded fabrications,carrying out maintenance activities on fluid power equipment within an engineered system,carrying out maintenance activities on fluid power equipment,carrying out tests on aircraft control systems,understand how to carry out fault diagnosis on services and systems for food and drink operations,,,
7,working safely in an engineering environment,complete routine assembly of bus/coach body components,identify and mark the location of utilities apparatus and sub-structures,utilise provision of fall protection systems,apply core land-based engineering principles: tools and equipment,control project progress against agreed programmes,assist in the installation of telecoms equipment,contribute to safe working practices in the rail engineering industry,assess the performance and condition of mechanical plant and equipment,cutting and shaping materials using gas cutting machines,assembling fluid power components to mechanical equipment,dismantling mechanical equipment in preparation for overhaul,assembling sub-assemblies and components to produce major marine structural assemblies,carrying out fault diagnosis on engineered systems,checking and calibrating electrical and electronic test equipment,carrying out maintenance activities on instrumentation and control equipment,carrying out modifications or rewiring electrical circuits,carrying out tests on aircraft engines and systems,understand how to carry out preventative planned maintenance on engineered systems within food and drink operations,,,
8,,complete thermal joining of bus/coach components,install drainage,,carry out maintenance and repair of equipment and machinery,control project progress against agreed quality standards,assist with establishing compliance with specifications for signalling equipment,isolate and earth contact systems to meet defined isolation requirements in the rail engineering industry,carry out planned maintenance procedures on electrical plant and equipment,cutting and shaping materials using portable thermal cutting equipment,assembling mechanical components,fitting electrical and electronic components to mechanical assemblies,bending and forming marine pipe using bending machines,carrying out fault diagnosis on fluid power equipment and circuits,checking and calibrating mechanical inspection equipment,carrying out maintenance activities on mechanical equipment,carrying out scheduled maintenance tasks on electrical equipment,carrying out tests on aircraft environmental systems,understand how to carry out preventative planned maintenance on instrumentation and control equipment used in food and drink operations ,,,
9,,conduct inspections of buses/coaches,"install, construct, maintain, dismantle and remove temporary works",,carry out the handover and installation of land-based equipment,control project quantities and costs,assist with tests and checks of telecoms equipment,plan electrification and plant engineering activities,carry out planned maintenance procedures on electrical process plant and equipment,cutting materials using hand operated thermal cutting equipment,"assembling pattern, model and engineering woodwork components",fitting fluid power components to mechanical assemblies,bending and forming marine pipe using hand methods,carrying out fault diagnosis on instrumentation and control equipment and circuits,checking and calibrating process control instrumentation,carrying out maintenance activities on mechanical equipment within an engineered system ,complying with statutory regulations and organisational safety requirements,carrying out tests on aircraft flight guidance and control systems,understand how to comply with statutory regulations and organisational safety requirements in food and drink operations,,,
